12,vault_assault_rooftop_heli,CP_DWN_TWN_OBJECTIVES/ROOF_HELI,,0,primary,icon_waypoint_objective_general,,,,,,,,,,,,,,,,,,,,,,CP_CHYRONS/MAPNAME_MISSIONNAME_TITLE,CP_CHYRONS/MAPNAME_MISSIONNAME_TIME,CP_CHYRONS/MAPNAME_MISSIONNAME_LOCATION,CP_CHYRONS/MAPNAME_MISSIONNAME_MISC,CP_CHYRONS/MAPNAME_MISSIONNAME_SQUAD
13,vault_assault_rooftop_call_exfil,CP_DWN_TWN_OBJECTIVES/CALL_EXFIL,,0,primary,icon_waypoint_objective_general,vault_assault_rooftop,targetname,,,,,,,,,,,,,,,,,,,,,CP_CHYRONS/MAPNAME_MISSIONNAME_TITLE,CP_CHYRONS/MAPNAME_MISSIONNAME_TIME,CP_CHYRONS/MAPNAME_MISSIONNAME_LOCATION,CP_CHYRONS/MAPNAME_MISSIONNAME_MISC,CP_CHYRONS/MAPNAME_MISSIONNAME_SQUAD
14,vault_assault_rooftop_defend,CP_DWN_TWN_OBJECTIVES/ROOF_DEFEND,,1,primary,,,,,,,,,,,,,,,,,,,,,,,CP_CHYRONS/MAPNAME_MISSIONNAME_TITLE,CP_CHYRONS/MAPNAME_MISSIONNAME_TIME,CP_CHYRONS/MAPNAME_MISSIONNAME_LOCATION,CP_CHYRONS/MAPNAME_MISSIONNAME_MISC,CP_CHYRONS/MAPNAME_MISSIONNAME_SQUAD
15,vault_assault_rooftop_exfil,CP_DWN_TWN_OBJECTIVES/ROOF_EXFIL,,1,primary,,,,,,,,,,,,,,,,,,,,,,,CP_CHYRONS/MAPNAME_MISSIONNAME_TITLE,CP_CHYRONS/MAPNAME_MISSIONNAME_TIME,CP_CHYRONS/MAPNAME_MISSIONNAME_LOCATION,CP_CHYRONS/MAPNAME_MISSIONNAME_MISC,CP_CHYRONS/MAPNAME_MISSIONNAME_SQUAD
16,event_convoy_start,CP_DWN_TWN_OBJECTIVES/EVENT_CONVOY_START,,1,primary,,,,,,,,,,,,,,,,,,,,,,,CP_CHYRONS/MAPNAME_MISSIONNAME_TITLE,CP_CHYRONS/MAPNAME_MISSIONNAME_TIME,CP_CHYRONS/MAPNAME_MISSIONNAME_LOCATION,CP_CHYRONS/MAPNAME_MISSIONNAME_MISC,CP_CHYRONS/MAPNAME_MISSIONNAME_SQUAD
17,event_convoy_tires_0,CP_CONVOYS/TIRES_0,,0,primary,,,,,,,,,,,,,,,,,,,,,,,CP_CHYRONS/MAPNAME_MISSIONNAME_TITLE,CP_CHYRONS/MAPNAME_MISSIONNAME_TIME,CP_CHYRONS/MAPNAME_MISSIONNAME_LOCATION,CP_CHYRONS/MAPNAME_MISSIONNAME_MISC,CP_CHYRONS/MAPNAME_MISSIONNAME_SQUAD
18,event_convoy_tires_1,CP_CONVOYS/TIRES_1,,0,primary,,,,,,,,,,,,,,,,,,,,,,,CP_CHYRONS/MAPNAME_MISSIONNAME_TITLE,CP_CHYRONS/MAPNAME_MISSIONNAME_TIME,CP_CHYRONS/MAPNAME_MISSIONNAME_LOCATION,CP_CHYRONS/MAPNAME_MISSIONNAME_MISC,CP_CHYRONS/MAPNAME_MISSIONNAME_SQUAD
19,event_convoy_tires_2,CP_CONVOYS/TIRES_2,,0,primary,,,,,,,,,,,,,,,,,,,,,,,CP_CHYRONS/MAPNAME_MISSIONNAME_TITLE,CP_CHYRONS/MAPNAME_MISSIONNAME_TIME,CP_CHYRONS/MAPNAME_MISSIONNAME_LOCATION,CP_CHYRONS/MAPNAME_MISSIONNAME_MISC,CP_CHYRONS/MAPNAME_MISSIONNAME_SQUAD
20,event_convoy_tires_3,CP_CONVOYS/TIRES_3,,0,primary,,,,,,,,,,,,,,,,,,,,,,,CP_CHYRONS/MAPNAME_MISSIONNAME_TITLE,CP_CHYRONS/MAPNAME_MISSIONNAME_TIME,CP_CHYRONS/MAPNAME_MISSIONNAME_LOCATION,CP_CHYRONS/MAPNAME_MISSIONNAME_MISC,CP_CHYRONS/MAPNAME_MISSIONNAME_SQUAD
21,event_convoy_nitrate,CP_CONVOYS/EXTRACT_NITRATE,,0,primary,,,,,,,,,,,,,,,,,,,,,,,CP_CHYRONS/MAPNAME_MISSIONNAME_TITLE,CP_CHYRONS/MAPNAME_MISSIONNAME_TIME,CP_CHYRONS/MAPNAME_MISSIONNAME_LOCATION,CP_CHYRONS/MAPNAME_MISSIONNAME_MISC,CP_CHYRONS/MAPNAME_MISSIONNAME_SQUAD
22,ml_p2_get_heli,CP_DWN_TWN_OBJECTIVES/OBJ_ML_P2_HELI,,1,primary,,,,,,,,,,,,,,,,,,,,,,,CP_CHYRONS/MAPNAME_MISSIONNAME_TITLE,CP_CHYRONS/MAPNAME_MISSIONNAME_TIME,CP_CHYRONS/MAPNAME_MISSIONNAME_LOCATION,CP_CHYRONS/MAPNAME_MISSIONNAME_MISC,CP_CHYRONS/MAPNAME_MISSIONNAME_SQUAD
23,ml_p2_observe,CP_DWN_TWN_OBJECTIVES/OBJ_ML_P2_1,,1,primary,,,,,,,,,,,,,,,,,,,,,,,CP_CHYRONS/MAPNAME_MISSIONNAME_TITLE,CP_CHYRONS/MAPNAME_MISSIONNAME_TIME,CP_CHYRONS/MAPNAME_MISSIONNAME_LOCATION,CP_CHYRONS/MAPNAME_MISSIONNAME_MISC,CP_CHYRONS/MAPNAME_MISSIONNAME_SQUAD
24,ml_p2_call_contact,CP_DWN_TWN_OBJECTIVES/OBJ_ML_P2_2,,0,primary,,,,,,,,,,,,,,,,,,,,,,,CP_CHYRONS/MAPNAME_MISSIONNAME_TITLE,CP_CHYRONS/MAPNAME_MISSIONNAME_TIME,CP_CHYRONS/MAPNAME_MISSIONNAME_LOCATION,CP_CHYRONS/MAPNAME_MISSIONNAME_MISC,CP_CHYRONS/MAPNAME_MISSIONNAME_SQUAD
25,ml_p2_follow_contact,CP_DWN_TWN_OBJECTIVES/OBJ_ML_P2_3,,0,primary,,,,,,,,,,,,,,,,,,,,,,,CP_CHYRONS/MAPNAME_MISSIONNAME_TITLE,CP_CHYRONS/MAPNAME_MISSIONNAME_TIME,CP_CHYRONS/MAPNAME_MISSIONNAME_LOCATION,CP_CHYRONS/MAPNAME_MISSIONNAME_MISC,CP_CHYRONS/MAPNAME_MISSIONNAME_SQUAD
26,ml_p2_secure_loc,CP_DWN_TWN_OBJECTIVES/OBJ_ML_P2_4,,1,primary,,,,,,,,,,,,,,,,,,,,,,,CP_CHYRONS/MAPNAME_MISSIONNAME_TITLE,CP_CHYRONS/MAPNAME_MISSIONNAME_TIME,CP_CHYRONS/MAPNAME_MISSIONNAME_LOCATION,CP_CHYRONS/MAPNAME_MISSIONNAME_MISC,CP_CHYRONS/MAPNAME_MISSIONNAME_SQUAD
27,ml_p2_interrogate,CP_DWN_TWN_OBJECTIVES/OBJ_ML_P2_INTERROGATE,,0,primary,,,,,,,,,,,,,,,,,,,,,,,CP_CHYRONS/MAPNAME_MISSIONNAME_TITLE,CP_CHYRONS/MAPNAME_MISSIONNAME_TIME,CP_CHYRONS/MAPNAME_MISSIONNAME_LOCATION,CP_CHYRONS/MAPNAME_MISSIONNAME_MISC,CP_CHYRONS/MAPNAME_MISSIONNAME_SQUAD
28,ml_p1_intel,CP_DWN_TWN_OBJECTIVES/OBJ_ML_P1,,1,primary,icon_waypoint_objective_general,ml_p3_obj,targetname,,,,,,,,,,,,,,,,,,,,,CP_CHYRONS/MAPNAME_MISSIONNAME_TITLE,CP_CHYRONS/MAPNAME_MISSIONNAME_TIME,CP_CHYRONS/MAPNAME_MISSIONNAME_LOCATION,CP_CHYRONS/MAPNAME_MISSIONNAME_MISC,CP_CHYRONS/MAPNAME_MISSIONNAME_SQUAD
29,ml_p3_intel,CP_DWN_TWN_OBJECTIVES/OBJ_ML_P3,,1,primary,icon_waypoint_objective_general,final_hack_spot,targetname,,,,,,,,,,,,,,,,,,,,,CP_CHYRONS/MAPNAME_MISSIONNAME_TITLE,CP_CHYRONS/MAPNAME_MISSIONNAME_TIME,CP_CHYRONS/MAPNAME_MISSIONNAME_LOCATION,CP_CHYRONS/MAPNAME_MISSIONNAME_MISC,CP_CHYRONS/MAPNAME_MISSIONNAME_SQUAD
30,ml_p3_intel_2,CP_DWN_TWN_OBJECTIVES/OBJ_ML_P3,,0,primary,icon_waypoint_objective_general,final_hack_spot,targetname,,,,,,,,,,,,,,,,,,,,,CP_CHYRONS/MAPNAME_MISSIONNAME_TITLE,CP_CHYRONS/MAPNAME_MISSIONNAME_TIME,CP_CHYRONS/MAPNAME_MISSIONNAME_LOCATION,CP_CHYRONS/MAPNAME_MISSIONNAME_MISC,CP_CHYRONS/MAPNAME_MISSIONNAME_SQUAD
31,ml_p3_intel_3,CP_DWN_TWN_OBJECTIVES/OBJ_ML_P3_3,,0,primary,,,,,,,,,,,,,,,,,,,,,,,CP_CHYRONS/MAPNAME_MISSIONNAME_TITLE,CP_CHYRONS/MAPNAME_MISSIONNAME_TIME,CP_CHYRONS/MAPNAME_MISSIONNAME_LOCATION,CP_CHYRONS/MAPNAME_MISSIONNAME_MISC,CP_CHYRONS/MAPNAME_MISSIONNAME_SQUAD
32,obj_convoyescort,CP_DWN_TWN_OBJECTIVES/OBJ_ESCORT_CONVOY,,1,primary,,,,,,,,,,,,,,,,,,,,,,,CP_CHYRONS/MAPNAME_MISSIONNAME_TITLE,CP_CHYRONS/MAPNAME_MISSIONNAME_TIME,CP_CHYRONS/MAPNAME_MISSIONNAME_LOCATION,CP_CHYRONS/MAPNAME_MISSIONNAME_MISC,CP_CHYRONS/MAPNAME_MISSIONNAME_SQUAD
33,safehouse,CP_DWN_TWN_OBJECTIVES/SAFEHOUSE_SELECTMISSION,CP_DWN_TWN_OBJECTIVES/SAFEHOUSE_SELECTMISSION,0,primary,icon_waypoint_objective_general,,,,,,,,,,,,,,,,,,,,,,CP_CHYRONS/MAPNAME_MISSIONNAME_TITLE,CP_CHYRONS/MAPNAME_MISSIONNAME_TIME,CP_CHYRONS/MAPNAME_MISSIONNAME_LOCATION,CP_CHYRONS/MAPNAME_MISSIONNAME_MISC,CP_CHYRONS/MAPNAME_MISSIONNAME_SQUAD
34,safehouse_mnu,CP_DWN_TWN_OBJECTIVES/SAFEHOUSE,,1,primary,,,,,,,,,,,,,,,,,,,,,,,CP_CHYRONS/MAPNAME_MISSIONNAME_TITLE,CP_CHYRONS/MAPNAME_MISSIONNAME_TIME,CP_CHYRONS/MAPNAME_MISSIONNAME_LOCATION,CP_CHYRONS/MAPNAME_MISSIONNAME_MISC,CP_CHYRONS/MAPNAME_MISSIONNAME_SQUAD
35,rooftop_raid,CP_DWN_TWN_OBJECTIVES/ROOFTOP_RAID,,1,primary,icon_waypoint_objective_general,,,,,,,,,,,,,,,,,,,,,,CP_CHYRONS/MAPNAME_MISSIONNAME_TITLE,CP_CHYRONS/MAPNAME_MISSIONNAME_TIME,CP_CHYRONS/MAPNAME_MISSIONNAME_LOCATION,CP_CHYRONS/MAPNAME_MISSIONNAME_MISC,CP_CHYRONS/MAPNAME_MISSIONNAME_SQUAD
36,rooftop_mortar,CP_DWN_TWN_OBJECTIVES/ROOFTOP_MORTAR_TEST,,1,primary,icon_waypoint_objective_general,,,,,,,,,,,,,,,,,,,,,,CP_CHYRONS/MAPNAME_MISSIONNAME_TITLE,CP_CHYRONS/MAPNAME_MISSIONNAME_TIME,CP_CHYRONS/MAPNAME_MISSIONNAME_LOCATION,CP_CHYRONS/MAPNAME_MISSIONNAME_MISC,CP_CHYRONS/MAPNAME_MISSIONNAME_SQUAD
37,rooftop_fight,CP_DWN_TWN_OBJECTIVES/ROOFTOP_FIGHT,,1,primary,icon_waypoint_objective_general,,,,,,,,,,,,,,,,,,,,,,CP_CHYRONS/MAPNAME_MISSIONNAME_TITLE,CP_CHYRONS/MAPNAME_MISSIONNAME_TIME,CP_CHYRONS/MAPNAME_MISSIONNAME_LOCATION,CP_CHYRONS/MAPNAME_MISSIONNAME_MISC,CP_CHYRONS/MAPNAME_MISSIONNAME_SQUAD
38,rooftop_raid_heli,CP_DWN_TWN_OBJECTIVES/ROOFTOP_RAID_HELI,,1,primary,icon_waypoint_objective_general,,,,,,,,,,,,,,,,,,,,,,CP_CHYRONS/MAPNAME_MISSIONNAME_TITLE,CP_CHYRONS/MAPNAME_MISSIONNAME_TIME,CP_CHYRONS/MAPNAME_MISSIONNAME_LOCATION,CP_CHYRONS/MAPNAME_MISSIONNAME_MISC,CP_CHYRONS/MAPNAME_MISSIONNAME_SQUAD
39,reach_drop_zone,CP_INSIDE_OBJ/REACH_DZ,CP_INSIDE_OBJ/LABEL_DZ,1,primary,icon_waypoint_objective_general,reach_drop_zone,script_noteworthy,,,,,,,,,,,,,,,,,,,,,CP_CHYRONS/MAPNAME_MISSIONNAME_TITLE,CP_CHYRONS/MAPNAME_MISSIONNAME_TIME,CP_CHYRONS/MAPNAME_MISSIONNAME_LOCATION,CP_CHYRONS/MAPNAME_MISSIONNAME_MISC,CP_CHYRONS/MAPNAME_MISSIONNAME_SQUAD
40,reach_lz,CP_INSIDE_OBJ/REACH_LZ,CP_INSIDE_OBJ/COLLECT_CORE,1,primary,icon_waypoint_objective_general,,,,,,,,,,,,,CP_INSIDE_OBJ/REACH_LZ,,,,,,,,,CP_CHYRONS/MAPNAME_MISSIONNAME_TITLE,CP_CHYRONS/MAPNAME_MISSIONNAME_TIME,CP_CHYRONS/MAPNAME_MISSIONNAME_LOCATION,CP_CHYRONS/MAPNAME_MISSIONNAME_MISC,CP_CHYRONS/MAPNAME_MISSIONNAME_SQUAD
41,morales_1,CP_BR_SYRK_OBJECTIVES/MORALES_1,CP_BR_SYRK_OBJECTIVES/FIND_MORALES,1,primary,icon_waypoint_objective_general,obj1_HVT_first_loc,script_noteworthy,,,,,,,,,,,,CP_BR_SYRK_OBJECTIVES/MORALES_2,CP_BR_SYRK_OBJECTIVES/MORALES_3,CP_BR_SYRK_OBJECTIVES/MORALES_4,,,,,cp_morales_cs,,CP_CHYRONS/MAPNAME_MISSIONNAME_TITLE,CP_CHYRONS/MAPNAME_MISSIONNAME_TIME,CP_CHYRONS/MAPNAME_MISSIONNAME_LOCATION,CP_CHYRONS/MAPNAME_MISSIONNAME_MISC,CP_CHYRONS/MAPNAME_MISSIONNAME_SQUAD
42,morales_2,CP_BR_SYRK_OBJECTIVES/MORALES_2,CP_OBJECTIVES/HACK,1,primary,icon_waypoint_objective_general,obj1_HVT_laptop_loc,script_noteworthy,,,,,,,,,,1,,,,,,,,,cp_morales_cs,,CP_CHYRONS/MAPNAME_MISSIONNAME_TITLE,CP_CHYRONS/MAPNAME_MISSIONNAME_TIME,CP_CHYRONS/MAPNAME_MISSIONNAME_LOCATION,CP_CHYRONS/MAPNAME_MISSIONNAME_MISC,CP_CHYRONS/MAPNAME_MISSIONNAME_SQUAD
43,morales_3,CP_BR_SYRK_OBJECTIVES/MORALES_3,CP_BR_SYRK_OBJECTIVES/FIND_MORALES,1,primary,icon_waypoint_objective_general,,,,,,,,,,,1,,,,,,,,,cp_morales_cs,,CP_CHYRONS/MAPNAME_MISSIONNAME_TITLE,CP_CHYRONS/MAPNAME_MISSIONNAME_TIME,CP_CHYRONS/MAPNAME_MISSIONNAME_LOCATION,CP_CHYRONS/MAPNAME_MISSIONNAME_MISC,CP_CHYRONS/MAPNAME_MISSIONNAME_SQUAD
44,morales_4,CP_BR_SYRK_OBJECTIVES/MORALES_4,CP_BR_SYRK_OBJECTIVES/SIGNAL_EXFIL,1,primary,,,,,,,,,,,,1,,,,,,,,,cp_morales_cs,,CP_CHYRONS/MAPNAME_MISSIONNAME_TITLE,CP_CHYRONS/MAPNAME_MISSIONNAME_TIME,CP_CHYRONS/MAPNAME_MISSIONNAME_LOCATION,CP_CHYRONS/MAPNAME_MISSIONNAME_MISC,CP_CHYRONS/MAPNAME_MISSIONNAME_SQUAD
45,morales_5,CP_BR_SYRK_OBJECTIVES/MORALES_5,CP_BR_SYRK_OBJECTIVES/DEFEND_POS,1,primary,icon_waypoint_objective_general,,,120,,,,,,,,1,1,,,,,,,,cp_morales_cs,,CP_CHYRONS/MAPNAME_MISSIONNAME_TITLE,CP_CHYRONS/MAPNAME_MISSIONNAME_TIME,CP_CHYRONS/MAPNAME_MISSIONNAME_LOCATION,CP_CHYRONS/MAPNAME_MISSIONNAME_MISC,CP_CHYRONS/MAPNAME_MISSIONNAME_SQUAD
46,morales_6,CP_BR_SYRK_OBJECTIVES/MORALES_6,CP_BR_SYRK_OBJECTIVES/EXFIL_MORALES,1,primary,icon_waypoint_objective_general,obj1_HVT_rescue,script_noteworthy,,,,,,,,,,1,,,,,,,,,cp_morales_cs,,CP_CHYRONS/MAPNAME_MISSIONNAME_TITLE,CP_CHYRONS/MAPNAME_MISSIONNAME_TIME,CP_CHYRONS/MAPNAME_MISSIONNAME_LOCATION,CP_CHYRONS/MAPNAME_MISSIONNAME_MISC,CP_CHYRONS/MAPNAME_MISSIONNAME_SQUAD
47,raid_coop_escort,GAME/VOTE_MAPRESTART,,0,primary,,,,,,,,,,,,,,,,,,,,,coop_escort_cs,,CP_CHYRONS/MAPNAME_MISSIONNAME_TITLE,CP_CHYRONS/MAPNAME_MISSIONNAME_TIME,CP_CHYRONS/MAPNAME_MISSIONNAME_LOCATION,CP_CHYRONS/MAPNAME_MISSIONNAME_MISC,CP_CHYRONS/MAPNAME_MISSIONNAME_SQUAD
48,convoy4_securearea,CP_QUARRY2_OBJECTIVES/CONVOY4_SECURE,CP_QUARRY2_OBJECTIVES/SECURE_BUILDING,1,primary,icon_waypoint_objective_general,,,,,,,,,,,,,,,,,,,,cp_quarry2_convoy4_create_script,,CP_CHYRONS/MAPNAME_MISSIONNAME_TITLE,CP_CHYRONS/MAPNAME_MISSIONNAME_TIME,CP_CHYRONS/MAPNAME_MISSIONNAME_LOCATION,CP_CHYRONS/MAPNAME_MISSIONNAME_MISC,CP_CHYRONS/MAPNAME_MISSIONNAME_SQUAD
49,convoy4_disablecomms,CP_QUARRY2_OBJECTIVES/CONVOY4_DISABLE_ARMS,CP_QUARRY2_OBJECTIVES/DISABLE_EQUIPMENT,1,primary,icon_waypoint_objective_general,,,,,,,,,,,,,,,,,,,,cp_quarry2_convoy4_create_script,,CP_CHYRONS/MAPNAME_MISSIONNAME_TITLE,CP_CHYRONS/MAPNAME_MISSIONNAME_TIME,CP_CHYRONS/MAPNAME_MISSIONNAME_LOCATION,CP_CHYRONS/MAPNAME_MISSIONNAME_MISC,CP_CHYRONS/MAPNAME_MISSIONNAME_SQUAD
50,convoy4_secure_tower,CP_QUARRY2_OBJECTIVES/CONVOY4_SECURE_TOWER,CP_QUARRY2_OBJECTIVES/SECURE_TOWER,1,primary,icon_waypoint_objective_general,,,,,,,,,,,,,,,,,,,,cp_quarry2_convoy4_create_script,,CP_CHYRONS/MAPNAME_MISSIONNAME_TITLE,CP_CHYRONS/MAPNAME_MISSIONNAME_TIME,CP_CHYRONS/MAPNAME_MISSIONNAME_LOCATION,CP_CHYRONS/MAPNAME_MISSIONNAME_MISC,CP_CHYRONS/MAPNAME_MISSIONNAME_SQUAD
51,convoy4_switches_0,CP_QUARRY2_OBJECTIVES/CONVOY4_DISABLE_ARMS_0,,0,,icon_waypoint_objective_general,,,,,,,,,,,,,,,,,,,,cp_quarry2_convoy4_create_script,,CP_CHYRONS/MAPNAME_MISSIONNAME_TITLE,CP_CHYRONS/MAPNAME_MISSIONNAME_TIME,CP_CHYRONS/MAPNAME_MISSIONNAME_LOCATION,CP_CHYRONS/MAPNAME_MISSIONNAME_MISC,CP_CHYRONS/MAPNAME_MISSIONNAME_SQUAD
52,convoy4_switches_1,CP_QUARRY2_OBJECTIVES/CONVOY4_DISABLE_ARMS_1,,0,,icon_waypoint_objective_general,,,,,,,,,,,,,,,,,,,,cp_quarry2_convoy4_create_script,,CP_CHYRONS/MAPNAME_MISSIONNAME_TITLE,CP_CHYRONS/MAPNAME_MISSIONNAME_TIME,CP_CHYRONS/MAPNAME_MISSIONNAME_LOCATION,CP_CHYRONS/MAPNAME_MISSIONNAME_MISC,CP_CHYRONS/MAPNAME_MISSIONNAME_SQUAD
53,convoy4_switches_2,CP_QUARRY2_OBJECTIVES/CONVOY4_DISABLE_ARMS_2,,0,,icon_waypoint_objective_general,,,,,,,,,,,,,,,,,,,,cp_quarry2_convoy4_create_script,,CP_CHYRONS/MAPNAME_MISSIONNAME_TITLE,CP_CHYRONS/MAPNAME_MISSIONNAME_TIME,CP_CHYRONS/MAPNAME_MISSIONNAME_LOCATION,CP_CHYRONS/MAPNAME_MISSIONNAME_MISC,CP_CHYRONS/MAPNAME_MISSIONNAME_SQUAD
54,convoy4_switches_3,CP_QUARRY2_OBJECTIVES/CONVOY4_DISABLE_ARMS_3,,0,,icon_waypoint_objective_general,,,,,,,,,,,,,,,,,,,,cp_quarry2_convoy4_create_script,,CP_CHYRONS/MAPNAME_MISSIONNAME_TITLE,CP_CHYRONS/MAPNAME_MISSIONNAME_TIME,CP_CHYRONS/MAPNAME_MISSIONNAME_LOCATION,CP_CHYRONS/MAPNAME_MISSIONNAME_MISC,CP_CHYRONS/MAPNAME_MISSIONNAME_SQUAD
55,convoy4_find_keys,CP_QUARRY2_OBJECTIVES/CONVOY4_FIND_KEYS,,1,primary,icon_waypoint_objective_general,,,,,,,,,,,,,,,,,,,,cp_quarry2_convoy4_create_script,,CP_CHYRONS/MAPNAME_MISSIONNAME_TITLE,CP_CHYRONS/MAPNAME_MISSIONNAME_TIME,CP_CHYRONS/MAPNAME_MISSIONNAME_LOCATION,CP_CHYRONS/MAPNAME_MISSIONNAME_MISC,CP_CHYRONS/MAPNAME_MISSIONNAME_SQUAD
56,convoy4_keys_0,CP_QUARRY2_OBJECTIVES/CONVOY4_KEYS_0,,0,primary,icon_waypoint_objective_general,,,,,,,,,,,,,,,,,,,,cp_quarry2_convoy4_create_script,,CP_CHYRONS/MAPNAME_MISSIONNAME_TITLE,CP_CHYRONS/MAPNAME_MISSIONNAME_TIME,CP_CHYRONS/MAPNAME_MISSIONNAME_LOCATION,CP_CHYRONS/MAPNAME_MISSIONNAME_MISC,CP_CHYRONS/MAPNAME_MISSIONNAME_SQUAD
